Date,Open,High,Low,Close,Change,Volume
2015-05-05,23547.17,23550.77,23304.8,23396.46,-144.22,172649184
2015-05-06,23475.87,23740.71,23475.87,23699.44,302.98,214624384
2015-05-07,23703.22,23762.89,23575.05,23705.3,5.86,159840672
2015-05-08,23658.92,23658.92,23520.2,23541.55,-163.75,182883056
2015-05-11,23540.52,23566.89,22860.91,22945.61,-595.94,235315024
2015-05-12,22938.76,23305.71,22856.24,23269.92,324.31,176999216
2015-05-13,23308.47,23416.28,23219.38,23248.05,-21.87,154626752
2015-05-14,23266.91,23396.4,23259.2,23335.76,87.71,213398368
2015-05-15,23336.7,23350.61,23219.96,23262.65,-73.11,174914544
2015-05-18,23271.37,23298.91,23144.41,23151.75,-110.9,117538470
2015-05-19,23159.02,23265.67,23040.44,23067.68,-84.07,136282432
2015-05-20,23067.87,23067.87,22977.64,23001.06,-66.62,135621344
2015-05-21,23009.65,23059.94,22939.3,22995.86,-5.2,80340832
2015-05-22,23005.55,23083.03,22896.11,22939.76,-56.1,75468320
2015-05-25,22969.17,23073.94,22873.45,22992.01,52.25,179134720
2015-05-26,23004.5,23044.55,22849.33,22924.14,-67.87,98527472
2015-05-27,22995.21,23144.26,22979.71,23117.72,193.58,200102592
2015-05-28,23121.83,23121.83,22992.71,23073.6,-44.12,148710736
2015-05-29,23074.26,23281.76,23074.26,23255.34,181.74,304388096
2015-06-01,23292.89,23491.6,23292.02,23483.19,227.85,261155456
2015-06-02,23516.28,23781.26,23516.28,23697.05,213.86,316682688
2015-06-03,23720.73,23817.65,23627.0,23639.84,-57.21,304240544
2015-06-04,23649.87,23837.8,23649.87,23806.91,167.07,362210240
2015-06-05,23805.13,23827.8,23715.14,23748.75,-58.16,333656896
2015-06-08,23682.16,23909.83,23225.47,23858.02,109.27,449977568
2015-06-09,23906.07,24035.03,23860.19,23897.74,39.72,403610848
2015-06-10,23946.88,24071.93,23859.58,23980.64,82.9,332511424
2015-06-11,23988.09,24262.2,23988.09,24183.96,203.32,381257568
2015-06-12,24188.97,24275.63,24159.8,24230.05,46.09,431942784
2015-06-15,24244.28,24371.67,24218.79,24249.88,19.83,568075328
2015-06-16,24249.45,24273.6,24149.1,24166.86,-83.02,525048288
2015-06-17,24168.75,24233.14,24119.45,24163.16,-3.7,540401600
2015-06-18,24165.19,24337.61,24165.19,24309.53,146.37,450101856
2015-06-19,24311.89,24332.8,24186.5,24215.09,-94.44,207008480
2015-06-22,24223.64,24224.67,23926.19,24043.42,-171.67,187749952
2015-06-23,24046.39,24083.07,23958.5,23958.5,-84.92,258349312
2015-06-24,24016.33,24127.85,23998.46,24071.23,112.73,391857504
2015-06-25,24074.15,24101.78,23882.75,23911.25,-159.98,549220544
2015-06-26,23911.62,23930.57,23691.46,23712.22,-199.03,400887808
2015-06-29,23723.36,23861.26,23635.24,23826.85,114.63,293698272
2015-06-30,23829.97,24078.47,23829.97,24036.72,209.87,347150368
2015-07-01,24058.94,24310.99,24058.94,24296.78,260.06,376300608
2015-07-02,24301.54,24546.42,24301.54,24512.78,216.0,405858784
2015-07-03,24525.6,24705.27,24525.6,24624.59,111.81,355892736
2015-07-06,24640.43,24683.66,24528.64,24669.15,44.56,362822656
2015-07-07,24688.14,24769.22,24635.87,24716.81,47.66,442025248
2015-07-08,24725.99,24765.53,24560.63,24612.02,-104.79,405792544
2015-07-09,24614.89,24656.95,24501.34,24533.42,-78.6,364113632
2015-07-10,24533.76,24673.83,24506.03,24524.79,-8.63,316017408
2015-07-13,24525.18,24742.54,24460.41,24713.89,189.1,345542624
2015-07-14,24723.32,24831.37,24563.88,24610.91,-102.98,417399936
2015-07-15,24609.4,24777.37,24609.4,24761.57,150.66,551538496
2015-07-16,24761.33,24976.58,24761.33,24889.63,128.06,602382912
2015-07-22,24900.89,25050.51,24900.89,25033.57,143.94,621473216
2015-07-23,25038.86,25091.21,24914.8,24962.78,-70.79,575612224
2015-07-24,24969.28,25024.76,24895.28,24957.63,-5.15,783331584
2015-07-27,24959.22,24996.5,24496.5,24518.15,-439.48,570682304
2015-07-28,24511.27,24709.09,24475.09,24598.23,80.08,362680352
2015-07-29,24610.64,24916.25,24610.64,24823.93,225.7,352729408
2015-07-30,24826.78,25054.19,24704.23,24851.31,27.38,428153632
2015-07-31,24859.93,24923.6,24786.4,24867.05,15.74,299370336
2015-08-03,24886.39,24936.19,24845.53,24930.9,63.85,200578384
